industry,aiie,beta1_simple_pre,r_simple_pre,r2_simple_pre,n_simple_pre,se1_simple_pre,beta2_simple_pre,se2_simple_pre,beta1_simple_post,r_simple_post,r2_simple_post,n_simple_post,se1_simple_post,beta2_simple_post,se2_simple_post,beta1_rc_lag0_pre,beta2_rc_lag0_pre,r2_rc_lag0_pre,n_rc_lag0_pre,se1_rc_lag0_pre,se2_rc_lag0_pre,beta1_rc_lag0_post,beta2_rc_lag0_post,r2_rc_lag0_post,n_rc_lag0_post,se1_rc_lag0_post,se2_rc_lag0_post,beta1_rc_lag2_pre,beta2_rc_lag2_pre,r2_rc_lag2_pre,n_rc_lag2_pre,se1_rc_lag2_pre,se2_rc_lag2_pre,beta1_rc_lag2_post,beta2_rc_lag2_post,r2_rc_lag2_post,n_rc_lag2_post,se1_rc_lag2_post,se2_rc_lag2_post,beta1_rc_lag4_pre,beta2_rc_lag4_pre,r2_rc_lag4_pre,n_rc_lag4_pre,se1_rc_lag4_pre,se2_rc_lag4_pre,beta1_rc_lag4_post,beta2_rc_lag4_post,r2_rc_lag4_post,n_rc_lag4_post,se1_rc_lag4_post,se2_rc_lag4_post,beta1_rc_level_pre,beta2_rc_level_pre,r2_rc_level_pre,n_rc_level_pre,se1_rc_level_pre,se2_rc_level_pre,beta1_rc_level_post,beta2_rc_level_post,r2_rc_level_post,n_rc_level_post,se1_rc_level_post,se2_rc_level_post,beta1_rc_dev_rolling_pre,beta2_rc_dev_rolling_pre,r2_rc_dev_rolling_pre,n_rc_dev_rolling_pre,se1_rc_dev_rolling_pre,se2_rc_dev_rolling_pre,beta1_rc_dev_rolling_post,beta2_rc_dev_rolling_post,r2_rc_dev_rolling_post,n_rc_dev_rolling_post,se1_rc_dev_rolling_post,se2_rc_dev_rolling_post,delta_beta1_simple,delta_beta1_rc_lag0,delta_beta1_rc_lag2,delta_beta1_rc_lag4,delta_beta1_rc_level,delta_beta1_rc_dev_rolling
Financial Activities,1.538,-0.02235431929219005,-0.21116236302497426,0.04458954355829102,59,0.013705740463921942,,,-0.05742253005185848,-0.431739979247086,0.18639940968027427,13,0.03617173515510557,,,0.0054052211759737095,-0.4882149235662438,0.3052894770960296,59,0.013255117435511917,0.10649973215494628,-0.08100839440242324,-0.03316267252593257,0.1954008137239578,13,0.07997367879469364,0.09914805266399092,-0.015303226409912454,-0.4898143115404075,0.37899929404721255,59,0.011221702002406334,0.08919572458434549,0.008389304242643794,0.11736385210092606,0.3737408179353252,13,0.05055391803827852,0.06785697860713667,-0.038497346350203826,-0.471020422029837,0.354152639976384,59,0.011788090879920356,0.09091511178454348,-0.04373737773858963,0.11319252795240954,0.5059486701308002,13,0.030048576248822095,0.04450767285141937,-0.02161852418398303,0.022200206757537477,0.04588698040014183,59,0.014073080445869959,0.08044884323402646,-0.03926805441059933,0.3501787502873938,0.5219966256333348,13,0.029875021932408694,0.13215880256196696,-0.002335061431910777,-0.499440889791713,0.3666175505510132,59,0.011867259274916992,0.09360009136299798,0.008269488992056831,0.10070780557637407,0.2298786076454603,13,0.09489998591823667,0.13402998355583923,-0.03506821075966843,-0.08641361557839695,0.02369253065255625,-0.005240031388385802,-0.0176495302266163,0.010604550423967608
Information,1.268,-0.13387416229690424,-0.33584283647129287,0.11279041080908357,59,0.04973205013575334,,,0.18037082934496257,0.29608558635462384,0.08766667444696141,13,0.1754403410515594,,,-0.09806179112024156,-0.691718914896134,0.31434112914028123,59,0.04498285461448228,0.17048945106312463,0.18625253902385044,-0.23855664178201091,0.2610091777968301,13,0.16564765962943456,0.15576091967588063,-0.01964755164009633,-0.9372579306734612,0.4239148683254875,59,0.04545383142336125,0.17042816481861725,0.18576724479192658,-0.02830049383235833,0.08967047928473149,13,0.1873655898280956,0.19075047000731216,-0.04957559148889742,-0.7393326069285151,0.32796609167691027,59,0.04799176045078492,0.17460024436971253,0.2229679419075521,0.3774586316685471,0.38696830178815744,13,0.15205797973721077,0.17082691099931538,-0.132909439246429,-0.010449610537005638,0.11287905687916244,59,0.05180260092819916,0.13969078679322855,0.16457165201249668,0.8852894840688895,0.2745905162349236,13,0.16436926942839264,0.5514987987846258,-0.07606182238240079,-0.7949197052915228,0.37903450778790926,59,0.043602519273822554,0.16222694464957804,0.18292180842286213,-0.18621400437798843,0.16907883374444788,13,0.17562070386563558,0.1881254767336801,0.3142449916418668,0.284314330144092,0.2054147964320229,0.2725435333964495,0.2974810912589257,0.25898363080526293
Education & Health,0.775,-0.03394509027126686,-0.07753760163266378,0.0060120796669456645,59,0.057811964851655906,,,-0.22183335413957103,-0.2103108360528065,0.04423064776123046,13,0.3109176693409189,,,-0.1168579687408525,-0.37890368163041654,0.3877980776257848,59,0.047875859714477866,0.06411684706460688,0.040976903336765354,-0.12923183684875164,0.5216180640874817,13,0.2452448255401692,0.04090924078567244,-0.08681300176015834,-0.4291691804212166,0.538918511360652,59,0.04026446501699253,0.05334551051744381,-0.10832411872301495,-0.08026255364719641,0.21017000799529217,13,0.3066061964215804,0.05537389566166887,0.0013561239522952954,-0.37681021480614135,0.44779032873319746,59,0.04379204792270423,0.05629612383699353,-0.1729924652593732,0.058828929334002945,0.1204044136003839,13,0.31720082772477304,0.06321639877705136,-0.03149232757914765,-0.04031439157922573,0.01532072464449552,59,0.05814990259427359,0.05540771770146221,-0.23582205749653204,0.09384417207370305,0.06639766716593276,13,0.3235655724481232,0.1925903935179735,-0.09968630521835065,-0.4106946914946664,0.4926475785630354,59,0.04262472334434905,0.0560374096075817,-0.03665345120397055,-0.12736198795292084,0.41715535840994866,13,0.26496309260341405,0.05035071621361611,-0.18788826386830418,0.15783487207761784,-0.02151111696285661,-0.1743485892116685,-0.2043297299173844,0.0630328540143801
Professional & Business,0.654,-0.3406986949602347,-0.7666591015009921,0.5877661779143086,59,0.03779223329108809,,,-0.2266498980341738,-0.6819675849812382,0.46507978696514235,13,0.07328919600781234,,,-0.2800651849412345,-0.5214818815546174,0.7509061042118723,59,0.031283836018212906,0.08610861856724798,-0.27269304591595395,0.04830674669403637,0.5309033169503146,13,0.08180587262194891,0.04078010941686015,-0.22402339076025105,-0.5620133805012741,0.7345404481722894,59,0.03709196692178473,0.10100127483305874,-0.20256415361753383,0.04564056280625089,0.5245695397853267,13,0.07559741088185717,0.040801244548459556,-0.28249936500451417,-0.2646963999207976,0.621436705292612,59,0.04488942329627836,0.11860372060142393,-0.18503726687804553,0.03234435583757201,0.47610428523574055,13,0.11838692334733143,0.07050850599142319,-0.3455411084373567,0.060418610199777956,0.592467145759677,59,0.038385930382409165,0.07517343410349177,-0.14165051916010324,0.20706594317783888,0.5223578886283204,13,0.10630434577535881,0.18908874162657116,-0.25364240581585107,-0.5415636506045677,0.7528069741582145,59,0.03277860132542561,0.08856822586808927,-0.24625272029500528,0.041953466891314815,0.5110121646956718,13,0.07622454003417932,0.04328699311273719,0.1140487969260609,0.007372139025280555,0.02145923714271722,0.09746209812646864,0.20389058927725345,0.00738968552084579
Wholesale Trade,0.264,-0.1667606733392762,-0.6748300514765967,0.45539559837590615,59,0.024154740239048202,,,0.0656865333869592,0.2734263634150061,0.07476197621035498,13,0.06967329500384724,,,-0.1230571759552228,-0.44835055901259924,0.6298843189749994,59,0.02181611733827695,0.08725870547920753,0.007278720667181757,-0.12272826909986018,0.3188608520396098,13,0.069878378880197,0.06483054020295297,-0.0875281475762932,-0.49453920525359446,0.6083914209785913,59,0.026720301230267043,0.10572873236350312,0.0559163856038937,-0.011353758461114617,0.07532174587826668,13,0.14527500171381783,0.14592519829269351,-0.1224532976396906,-0.34942867879918443,0.5588916593265254,59,0.02510824086099196,0.09639960558831434,0.18552370188864048,0.17679870599674122,0.26675077883209164,13,0.09857260747027191,0.10926144434055579,-0.1676997377077039,0.019701742094362467,0.45616606201185506,59,0.024579366965462146,0.06994677513503575,0.2381582165279975,0.7659988929287138,0.48704269087144325,13,0.08161776093360432,0.2701918488561977,-0.10679480416040252,-0.5072406968515019,0.6698134740210935,59,0.021422840042043038,0.08411418784667402,-0.04097664702929321,-0.17212757105578727,0.337206588075048,13,0.08184368600768294,0.0865009149881665,0.2324472067262354,0.13033589662240455,0.1434445331801869,0.3079769995283311,0.4058579542357014,0.0658181571311093
Leisure & Hospitality,-0.315,-0.3561475229793756,-0.7663149458477998,0.5872385962297163,59,0.039548930608492384,,,-0.30174707770519676,-0.8408391297033243,0.7070104420402439,13,0.05856793171330678,,,-0.3021872263959989,-0.22216224258032416,0.6075556050266925,59,0.05017988068155338,0.13047743731560996,-0.2338334391972283,-0.0940731396701201,0.7267548364570995,13,0.09950836924167722,0.11066746746621632,-0.30287723393630794,-0.2378835708849242,0.6136949054142309,59,0.04722205257151135,0.12147055750327528,-0.3021996733517007,0.0016630393426999772,0.7070236636173481,13,0.06501509750489126,0.0782847491778481,-0.31762008296423927,-0.2928518237221269,0.6441022433492574,59,0.03922525082263672,0.09790371895573237,-0.3078307231760205,-0.027334979663482674,0.7100093662620544,13,0.06397256421613048,0.08500177499476405,-0.3594055762354382,-0.055927081688411324,0.5914205792331328,59,0.039930409625533396,0.07387121754939137,-0.2968817629396411,0.13135692464749954,0.7153345554172132,13,0.06121251795148779,0.2429133338422078,-0.2770762565462101,-0.3162790765441166,0.6293747874775417,59,0.04910769957357074,0.12534767710707678,-0.24692264505181333,-0.09826924251781106,0.7303861790080551,13,0.08330037644083424,0.10553731188886188,0.05440044527417881,0.06835378719877058,0.0006775605846072175,0.009789359788218766,0.06252381329579709,0.03015361149439677
Transportation & Utilities,-0.342,-0.25544030270196255,-0.6312729679259017,0.3985055600339765,59,0.04156718442851532,,,0.1566223738646623,0.428486367488553,0.18360056712353529,13,0.09957992561656387,,,-0.180941190433449,-0.37886996232889836,0.46563198272719786,59,0.04849111151064047,0.14284651128332507,0.1683661651017936,0.039716160713986745,0.19961899444289177,13,0.10669056240803475,0.08877807189369864,-0.1499075727339941,-0.49789889326596665,0.5087582009653024,59,0.048191720782482336,0.1404430664881783,0.10599605758442926,0.1173118015336902,0.29132435807723067,13,0.10561542597848125,0.09515018628225871,-0.21246038047555088,-0.3464853745142758,0.4789205212009202,59,0.04168111092031326,0.11786217483719426,-0.015921811224483412,0.29049078484440805,0.599807968868233,13,0.09060623849673315,0.09007653641036785,-0.255719555423633,0.018230556003128146,0.39896715505087754,59,0.04194220424340286,0.08790720008240617,-0.13867525322330876,1.1073419153628419,0.5719853405907219,13,0.12380822914653052,0.36760377579995485,-0.1598627434968837,-0.46537019229928944,0.5008811335829964,59,0.04748319823893545,0.13731196061565376,0.1658970898907244,0.09166759095846605,0.25294758772716186,13,0.10036887241036727,0.09514313355951912,0.4120626765666249,0.3493073555352426,0.25590363031842334,0.19653856925106747,0.11704430220032425,0.3257598333876081
Manufacturing,-0.484,-0.3269513813743436,-0.6738674993237928,0.45409740664490184,59,0.04748197955405364,,,0.11038603482695963,0.6377717788546164,0.4067528419033818,13,0.04019484201460064,,,-0.25259413308388656,-0.43193595215591746,0.4938545631792629,59,0.05817751714822834,0.2059469409700935,0.060980809061558505,-0.10872463799895872,0.5961216305122851,13,0.04159900494546506,0.050211022676507004,-0.16744146805000518,-0.75700850449307,0.5445062993425231,59,0.06483683764199652,0.22706090136898827,0.1194832753882943,-0.07557231887879808,0.5156226564643359,13,0.038572892691705205,0.0504081683877507,-0.26507948221354294,-0.45275411489959533,0.5132495445942353,59,0.05107501751427783,0.17355468947128086,0.1264782445715031,-0.03164163913527793,0.41417936793034726,13,0.061625215816720626,0.088868623024272,-0.37578155819077036,0.3366046857164062,0.5198422769194049,59,0.04826377705803997,0.12155901343783485,0.12707565453809733,-0.1094739533452735,0.4190217428741734,13,0.055312213526131894,0.23822531554777643,-0.2204660327952623,-0.5782623607742874,0.5235568987927943,59,0.05823841707258342,0.2023814163655168,0.0872056543542786,-0.0961702485268108,0.5521040608633682,13,0.038824434212385524,0.053385087846445224,0.43733741620130323,0.31357494214544507,0.2869247434382995,0.3915577267850461,0.5028572127288677,0.3076716871495409
Construction,-0.997,-0.39326264835468616,-0.7467473266256248,0.5576315698225176,59,0.04639419655748913,,,0.046045189411935784,0.7747342293976641,0.6002131262003925,13,0.011330509577286731,,,-0.3261171329794029,-0.6342693879489301,0.5996675349439262,59,0.052434794519078044,0.26156500065257837,0.05284219210720662,0.024694387801177827,0.626482671392818,13,0.014058031501960744,0.029446071651919918,-0.2787678254926632,-0.9440055008101091,0.6423031212535185,59,0.052539858196924735,0.2592801850858408,0.044383499429439754,0.0222253418309454,0.626622294612206,13,0.011653056211068396,0.026426842561691102,-0.3235752417175093,-0.7422086307028811,0.626749434162807,59,0.04813371050706375,0.23048202917092023,0.04271132106957841,0.011227119379138078,0.6027645523255185,13,0.017702072457763753,0.044299705553654804,-0.3990163461515925,-0.11955055692187676,0.5616032443033996,59,0.04729101916598421,0.167843463467346,0.04263613546372873,0.0389987314299483,0.6046308645071644,13,0.015609833436072928,0.11666803112733812,-0.2963302777806796,-0.8362795693607918,0.6289115884468219,59,0.05207044629953515,0.2549836110871532,0.04934636564771995,0.02210644360008033,0.6214260505184361,13,0.012376345317614683,0.029532075649817774,0.43930783776662197,0.37895932508660957,0.32315132492210297,0.3662865627870877,0.4416524816153212,0.34567664342839954
